email,password,idamId,caseRoles
PerfSupervisorCW_036@justice.gov.uk,Password12,24bd7f16-5e63-45ac-bfc4-7652445a77cf,140
PerfSupervisorCW_037@justice.gov.uk,Password12,cdece125-fd0e-45da-98e4-7da84d82f97c,140
PerfSupervisorCW_038@justice.gov.uk,Password12,4b39186a-41c1-434e-8e62-82a91b74ed36,140
PerfSupervisorCW_039@justice.gov.uk,Password12,c6532f30-cfd5-4b42-8c9f-6db2735b91ac,140
PerfSupervisorCW_040@justice.gov.uk,Password12,8f542207-644a-4f72-9454-d108e06dc7bf,140
PerfSupervisorCW_041@justice.gov.uk,Password12,df67003c-b75d-463a-a425-f022c28e4a6b,140
PerfSupervisorCW_042@justice.gov.uk,Password12,9bb35faa-356d-4dcd-a23e-65dc5dd4bf59,140
PerfSupervisorCW_043@justice.gov.uk,Password12,a7a9eda1-a307-4d4c-b945-b867b1b1d660,140
PerfSupervisorCW_044@justice.gov.uk,Password12,fd45cf9f-7f96-4a13-97d7-5623d871beab,140
PerfSupervisorCW_045@justice.gov.uk,Password12,9cf7983a-c42d-4d11-9253-ba67834bdffe,140
PerfSupervisorCW_046@justice.gov.uk,Password12,4f6f9d60-52fc-43fd-870b-dbca8e5acb42,140
PerfSupervisorCW_047@justice.gov.uk,Password12,1a11d2e2-a4e4-45ac-8604-dd8e4d9369a4,140
PerfSupervisorCW_048@justice.gov.uk,Password12,f12c1e5d-6c59-4568-981e-07c3149369de,140
PerfSupervisorCW_049@justice.gov.uk,Password12,b399e830-387a-4812-b0fd-2a24d5ccc6df,140
PerfSupervisorCW_050@justice.gov.uk,Password12,fb6a29c6-aa17-40c5-93a6-a7e248b78f0b,100
PerfSupervisorCW_051@justice.gov.uk,Password12,9359466f-55cf-4f4d-958e-0a46920d77e2,140
PerfSupervisorCW_052@justice.gov.uk,Password12,8bc34d7d-46f2-4429-aa3a-52c4d1b555b4,140
PerfSupervisorCW_053@justice.gov.uk,Password12,1286fd86-0f79-410a-9593-68348b2ed169,140
PerfSupervisorCW_054@justice.gov.uk,Password12,b034c501-4688-4dd0-aac6-aba8bdeaacee,140
PerfSupervisorCW_055@justice.gov.uk,Password12,c2002ac6-acad-49b4-a199-b00da1b12eb6,140
PerfSupervisorCW_056@justice.gov.uk,Password12,e61a1cb6-570a-44c9-9a5b-0ad25b46a36f,140
PerfSupervisorCW_057@justice.gov.uk,Password12,745dfd88-a26c-4732-b3aa-724eb99928df,140
PerfSupervisorCW_058@justice.gov.uk,Password12,208831de-2a35-4aa8-a394-160f437e4a2e,140
PerfSupervisorCW_059@justice.gov.uk,Password12,64845100-5acc-4c29-844f-cfbd98759bd8,140
PerfSupervisorCW_060@justice.gov.uk,Password12,0af18f6b-45cc-4d8e-bca8-2d435ce50f09,140
PerfSupervisorCW_061@justice.gov.uk,Password12,fbcd6bf8-57d6-4802-95fb-c7d00262d76e,20
PerfSupervisorCW_062@justice.gov.uk,Password12,2aae53a3-7d40-4b40-a4fb-1a4ec1e72991,
PerfSupervisorCW_063@justice.gov.uk,Password12,2d83ce73-a58e-4db1-b6b2-757feb9ebe58,
PerfSupervisorCW_064@justice.gov.uk,Password12,98ce56ea-62ac-4af4-91c9-e3cb58ddd857,
PerfSupervisorCW_065@justice.gov.uk,Password12,65f89869-d313-4f7e-8166-2cf05be51aaa,
PerfSupervisorCW_066@justice.gov.uk,Password12,846b70c3-725b-4102-8b42-840a9c078b57,
PerfSupervisorCW_067@justice.gov.uk,Password12,ad86ff72-a86c-4cd3-9406-e4e10e2c1ae8,
PerfSupervisorCW_068@justice.gov.uk,Password12,da25deaa-40e3-4aa2-9bb8-665edbc09527,
PerfSupervisorCW_069@justice.gov.uk,Password12,7f1bd51e-8e16-4245-a200-2535a05815f3,
PerfSupervisorCW_070@justice.gov.uk,Password12,779d84d9-f7f3-4250-8fe0-c854968f7fa5,
PerfSupervisorCW_071@justice.gov.uk,Password12,c540086b-68d3-4d74-837e-62fedc5811a6,
PerfSupervisorCW_072@justice.gov.uk,Password12,5b759e3e-b7d8-474f-907d-1331de775aa3,
PerfSupervisorCW_073@justice.gov.uk,Password12,9368defc-345f-4b61-a728-399998a4337d,
PerfSupervisorCW_074@justice.gov.uk,Password12,2df3b044-b8c0-41c4-9307-8344f9ff769c,
PerfSupervisorCW_075@justice.gov.uk,Password12,f256f5cb-9edd-4c73-ad36-c75b8e13636f,
PerfSupervisorCW_076@justice.gov.uk,Password12,4dfc2b6a-3ba4-4101-b9d0-90944088ae4c,
PerfSupervisorCW_077@justice.gov.uk,Password12,820860db-d25e-45c9-98e8-a47d23b125d8,
PerfSupervisorCW_078@justice.gov.uk,Password12,a4df1ae2-5c26-433e-8846-4da3db7b82b7,
PerfSupervisorCW_079@justice.gov.uk,Password12,f74ff7f2-702c-426c-b27b-7dc49896adac,
PerfSupervisorCW_080@justice.gov.uk,Password12,2cff048c-c0b5-4b3e-a3ab-0b1dbd5c17ad,
PerfSupervisorCW_081@justice.gov.uk,Password12,0b78f2bc-2ab7-473f-b4d2-4d6132fcdd1a,
PerfSupervisorCW_082@justice.gov.uk,Password12,b6d0b5f5-7d7c-419f-81c8-e3a81c5d64b0,
PerfSupervisorCW_083@justice.gov.uk,Password12,7eac5c83-17e2-432d-b679-49ab1c37aba2,
PerfSupervisorCW_084@justice.gov.uk,Password12,8ba2f34c-2bd5-4d42-b24b-a1ca8dec2ddb,
PerfSupervisorCW_085@justice.gov.uk,Password12,4ac0513f-0f3a-4f74-9c50-b69e7774ef81,
PerfSupervisorCW_086@justice.gov.uk,Password12,3cea38e8-0bb5-4ac9-9b22-b50b94f92575,
PerfSupervisorCW_087@justice.gov.uk,Password12,643c8414-726a-479b-91fc-0c83963df8b2,
PerfSupervisorCW_088@justice.gov.uk,Password12,8b07a171-58a2-40e3-94cb-749694a4e888,
PerfSupervisorCW_089@justice.gov.uk,Password12,e5133d28-b0a2-40dd-8c5b-a80c300fd898,
PerfSupervisorCW_090@justice.gov.uk,Password12,16469177-47d5-4a77-b6ae-fd959c5d5a88,
PerfSupervisorCW_091@justice.gov.uk,Password12,48736542-b11a-4d08-89fd-78a0988765d3,
PerfSupervisorCW_092@justice.gov.uk,Password12,57bbe35b-650d-49b1-8307-71b7752ff753,
PerfSupervisorCW_093@justice.gov.uk,Password12,f541d9e8-786e-4ae7-aaf7-b2db4266069b,
PerfSupervisorCW_094@justice.gov.uk,Password12,9ffd5813-ce02-4dd7-96ca-d13359279a0c,
PerfSupervisorCW_095@justice.gov.uk,Password12,fe8df1fa-261c-47e7-a017-16ce7d95ae3d,
PerfSupervisorCW_096@justice.gov.uk,Password12,4fc20889-8587-4390-8056-4c63fb41e1e9,
PerfSupervisorCW_097@justice.gov.uk,Password12,1d7cde8c-84d6-4cba-b307-07c31d9fe786,
PerfSupervisorCW_098@justice.gov.uk,Password12,56dcc7f6-8e4d-4bb8-b084-dc51c4b5b08a,
PerfSupervisorCW_099@justice.gov.uk,Password12,1d2b9ba1-7f08-426f-b7d0-c306affa0fb0,
PerfSupervisorCW_100@justice.gov.uk,Password12,39102cb6-3094-45d9-8c6e-706f27f83640,
CRD_func_test_demo_tcw@justice.gov.uk,AldgateT0wer,23d7bed5-3195-4c32-8366-c6b7e88ad1cb,
CRD_func_test_demo_tcw1@justice.gov.uk,AldgateT0wer,fbea3ae1-68f1-4cf9-9d51-26046da898c5,
PerfSupervisorCW_001@justice.gov.uk,Password12,977ea46d-9e2b-4f5d-9e40-cd2e225569b5,140
